,Tanggal,Keterangan,Harga
0,19/03/2022,BUYBACK,Rp 887.000
1,19/03/2022,GOLD,Rp 984.000
2,18/03/2022,BUYBACK,Rp 894.000
3,18/03/2022,GOLD,Rp 991.000
4,17/03/2022,BUYBACK,Rp 888.000
5,17/03/2022,GOLD,Rp 986.000
6,16/03/2022,BUYBACK,Rp 886.000
7,16/03/2022,GOLD,Rp 984.000
8,15/03/2022,BUYBACK,Rp 900.000
9,15/03/2022,GOLD,Rp 994.000
10,14/03/2022,BUYBACK,Rp 908.000
11,14/03/2022,GOLD,Rp 1.001.000
12,13/03/2022,BUYBACK,Rp 916.000
13,12/03/2022,BUYBACK,Rp 916.000
14,12/03/2022,GOLD,Rp 1.009.000
15,11/03/2022,BUYBACK,Rp 917.000
16,11/03/2022,GOLD,Rp 1.010.000
17,10/03/2022,BUYBACK,Rp 917.000
18,10/03/2022,GOLD,Rp 1.010.000
19,09/03/2022,BUYBACK,Rp 943.000
20,09/03/2022,GOLD,Rp 1.036.000
21,08/03/2022,BUYBACK,Rp 926.000
22,08/03/2022,GOLD,Rp 1.019.000
23,07/03/2022,BUYBACK,Rp 920.000
24,07/03/2022,GOLD,Rp 1.013.000
25,06/03/2022,BUYBACK,Rp 912.000
26,05/03/2022,BUYBACK,Rp 912.000
27,05/03/2022,GOLD,Rp 1.005.000
28,04/03/2022,BUYBACK,Rp 895.000
29,04/03/2022,GOLD,Rp 990.000
30,03/03/2022,BUYBACK,Rp 892.000
31,03/03/2022,GOLD,Rp 987.000
32,02/03/2022,BUYBACK,Rp 892.000
33,02/03/2022,GOLD,Rp 987.000
34,01/03/2022,BUYBACK,Rp 882.000
35,01/03/2022,GOLD,Rp 977.000
36,28/02/2022,BUYBACK,Rp 883.000
37,28/02/2022,GOLD,Rp 978.000
38,26/02/2022,BUYBACK,Rp 874.000
39,26/02/2022,GOLD,Rp 969.000
40,25/02/2022,BUYBACK,Rp 882.000
41,25/02/2022,GOLD,Rp 975.000
42,24/02/2022,BUYBACK,Rp 881.000
43,24/02/2022,GOLD,Rp 974.000
44,24/02/2022,BUYBACK,Rp 891.000
