,Tanggal,Keterangan,Harga
0,20/03/2022,BUYBACK,Rp 887.000
1,19/03/2022,BUYBACK,Rp 887.000
2,19/03/2022,GOLD,Rp 984.000
3,18/03/2022,BUYBACK,Rp 894.000
4,18/03/2022,GOLD,Rp 991.000
5,17/03/2022,BUYBACK,Rp 888.000
6,17/03/2022,GOLD,Rp 986.000
7,16/03/2022,BUYBACK,Rp 886.000
8,16/03/2022,GOLD,Rp 984.000
9,15/03/2022,BUYBACK,Rp 900.000
10,15/03/2022,GOLD,Rp 994.000
11,14/03/2022,BUYBACK,Rp 908.000
12,14/03/2022,GOLD,Rp 1.001.000
13,13/03/2022,BUYBACK,Rp 916.000
14,12/03/2022,BUYBACK,Rp 916.000
15,12/03/2022,GOLD,Rp 1.009.000
16,11/03/2022,BUYBACK,Rp 917.000
17,11/03/2022,GOLD,Rp 1.010.000
18,10/03/2022,BUYBACK,Rp 917.000
19,10/03/2022,GOLD,Rp 1.010.000
20,09/03/2022,BUYBACK,Rp 943.000
21,09/03/2022,GOLD,Rp 1.036.000
22,08/03/2022,BUYBACK,Rp 926.000
23,08/03/2022,GOLD,Rp 1.019.000
24,07/03/2022,BUYBACK,Rp 920.000
25,07/03/2022,GOLD,Rp 1.013.000
26,06/03/2022,BUYBACK,Rp 912.000
27,05/03/2022,BUYBACK,Rp 912.000
28,05/03/2022,GOLD,Rp 1.005.000
29,04/03/2022,BUYBACK,Rp 895.000
30,04/03/2022,GOLD,Rp 990.000
31,03/03/2022,BUYBACK,Rp 892.000
32,03/03/2022,GOLD,Rp 987.000
33,02/03/2022,BUYBACK,Rp 892.000
34,02/03/2022,GOLD,Rp 987.000
35,01/03/2022,BUYBACK,Rp 882.000
36,01/03/2022,GOLD,Rp 977.000
37,28/02/2022,BUYBACK,Rp 883.000
38,28/02/2022,GOLD,Rp 978.000
39,26/02/2022,BUYBACK,Rp 874.000
40,26/02/2022,GOLD,Rp 969.000
41,25/02/2022,BUYBACK,Rp 882.000
42,25/02/2022,GOLD,Rp 975.000
43,24/02/2022,BUYBACK,Rp 881.000
44,24/02/2022,GOLD,Rp 974.000
45,24/02/2022,BUYBACK,Rp 891.000
46,24/02/2022,GOLD,Rp 894.000
47,24/02/2022,BUYBACK,Rp 901.000
