TANGGAL,GOLD 100 gr,GOLD 10 gr,GOLD 1 gr,BUYBACK
02 January 2020,71300000,7195000,762000,678000
03 January 2020,71300000,7195000,762000,683000
04 January 2020,71700000,7315000,774000,693000
06 January 2020,71700000,7315000,783000,700000
07 January 2020,71700000,7405000,784000,700000
08 January 2020,75000000,7565000,799000,714000
09 January 2020,73300000,7395000,782000,696000
10 January 2020,72800000,7345000,777000,690000
11 January 2020,73100000,7375000,780000,693000
13 January 2020,72900000,7355000,778000,692000
14 January 2020,71800000,7245000,767000,679000
15 January 2020,71800000,7245000,767000,679000
16 January 2020,71800000,7245000,767000,685000
17 January 2020,71900000,7255000,768000,680000
18 January 2020,72100000,7275000,770000,682000
20 January 2020,72000000,7265000,769000,682000
21 January 2020,72200000,7285000,771000,684000
22 January 2020,72000000,7265000,769000,683000
23 January 2020,72300000,7295000,772000,686000
24 January 2020,71900000,7255000,768000,683000
27 January 2020,72500000,7315000,774000,690000
28 January 2020,72500000,7315000,774000,690000
29 January 2020,72200000,7285000,771000,687000
30 January 2020,72500000,7315000,774000,690000
31 January 2020,72500000,7315000,774000,690000
01 February 2020,72500000,7315000,774000,697000
03 February 2020,73000000,7365000,779000,696000
04 February 2020,72900000,7355000,778000,695000
05 February 2020,72200000,7285000,771000,687000
06 February 2020,72100000,7275000,770000,685000
07 February 2020,72300000,7295000,772000,687000
10 February 2020,72600000,7325000,775000,690000
11 February 2020,72600000,7325000,775000,692000
12 February 2020,72500000,7315000,774000,689000
13 February 2020,72500000,7315000,774000,689000
14 February 2020,72800000,7345000,777000,692000
15 February 2020,73100000,7375000,780000,697000
17 February 2020,73000000,7365000,779000,696000
18 February 2020,73000000,7365000,779000,697000
19 February 2020,73400000,7405000,783000,702000
20 February 2020,73900000,7455000,788000,708000
21 February 2020,74400000,7505000,793000,714000
22 February 2020,75500000,7615000,804000,725000
24 February 2020,75500000,7615000,804000,731000
25 February 2020,76000000,7665000,809000,731000
26 February 2020,75900000,7655000,808000,730000
27 February 2020,76400000,7705000,813000,735000
28 February 2020,76700000,7735000,816000,738000
29 February 2020,75700000,7635000,806000,728000
01 March 2020,75700000,7635000,806000,728000
02 March 2020,76100000,7675000,810000,732000
03 March 2020,76600000,7725000,815000,737000
04 March 2020,77800000,7845000,827000,749000
05 March 2020,77300000,7795000,822000,744000
06 March 2020,78800000,7945000,837000,760000
07 March 2020,79300000,7995000,842000,765000
09 March 2020,80200000,8085000,851000,776000
10 March 2020,79300000,7995000,842000,767000
11 March 2020,79000000,7965000,839000,764000
12 March 2020,78200000,7885000,831000,756000
13 March 2020,76300000,7695000,812000,734000
14 March 2020,76000000,7665000,809000,730000
15 March 2020,76000000,7665000,809000,730000
16 March 2020,77000000,7765000,819000,741000
17 March 2020,75200000,7585000,801000,719000
18 March 2020,75200000,7585000,801000,745000
19 March 2020,76500000,7715000,814000,732000
20 March 2020,77500000,7815000,824000,743000
21 March 2020,82100000,8275000,870000,791000
22 March 2020,82100000,8275000,870000,791000
23 March 2020,81200000,8185000,861000,780000
24 March 2020,87000000,8765000,919000,836000
26 March 2020,87500000,8815000,924000,837000
27 March 2020,87500000,8815000,924000,835000
30 March 2020,87700000,8835000,926000,835000
31 March 2020,87500000,8815000,924000,832000
01 April 2020,86200000,8685000,911000,818000
02 April 2020,86900000,8755000,918000,822000
03 April 2020,89500000,9015000,944000,845000
04 April 2020,88500000,8915000,934000,835000
06 April 2020,88200000,8885000,931000,832000
07 April 2020,91400000,9205000,963000,862000
08 April 2020,89700000,9035000,946000,845000
09 April 2020,88900000,8955000,938000,836000
11 April 2020,90200000,9085000,951000,846000
13 April 2020,90300000,9095000,952000,848000
14 April 2020,89900000,9055000,948000,844000
15 April 2020,89400000,9005000,943000,840000
16 April 2020,89000000,8965000,939000,837000
17 April 2020,89300000,8995000,942000,840000
18 April 2020,87800000,8845000,927000,825000
20 April 2020,87800000,8845000,927000,816000
21 April 2020,87500000,8815000,924000,823000
22 April 2020,87500000,8815000,924000,827000
23 April 2020,88500000,8915000,934000,833000
24 April 2020,88500000,8915000,934000,843000
27 April 2020,89000000,8965000,939000,838000
28 April 2020,88600000,8925000,935000,834000
29 April 2020,87900000,8855000,928000,829000
30 April 2020,87900000,8855000,928000,829000
02 May 2020,86700000,8735000,916000,817000
04 May 2020,86500000,8715000,914000,813000
05 May 2020,86400000,8705000,913000,812000
06 May 2020,86400000,8705000,913000,813000
08 May 2020,86900000,8755000,918000,819000
09 May 2020,86200000,8685000,911000,812000
11 May 2020,86200000,8685000,911000,812000
12 May 2020,85400000,8605000,903000,806000
13 May 2020,85900000,8655000,908000,812000
14 May 2020,86100000,8675000,910000,815000
15 May 2020,86800000,8745000,917000,823000
16 May 2020,87000000,8765000,919000,825000
18 May 2020,87612000,8835000,934000,831000
19 May 2020,86612000,8735000,924000,822000
20 May 2020,86812000,8755000,926000,824000
22 May 2020,86812000,8755000,926000,815000
26 May 2020,85912000,8665000,917000,816000
27 May 2020,85112000,8585000,909000,808000
28 May 2020,85012000,8575000,908000,808000
29 May 2020,85512000,8625000,913000,813000
30 May 2020,85612000,8635000,914000,815000
