Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Kelompok
ACEH,"101,09","99,20","98,78","98,52","97,24","99,07","97,85","98,60","98,88","98,52","99,12","98,01","98,74",Petani
SUMATERA UTARA,"113,69","111,71","109,41","106,41","104,50","105,13","106,84","108,53","110,44","112,01","114,00","115,21","109,83",Petani
SUMATERA BARAT,"103,40","102,63","101,74","99,62","97,73","97,98","98,39","99,41","100,54","100,94","101,95","102,68","100,59",Petani
RIAU,"123,93","117,90","113,76","115,64","111,74","109,66","113,57","116,88","120,94","123,61","127,32","130,34","118,79",Petani
JAMBI,"110,47","107,07","104,85","102,16","98,55","101,15","103,57","106,89","110,28","112,68","115,75","117,83","107,62",Petani
SUMATERA SELATAN,"100,64","96,85","94,13","91,21","88,56","89,99","91,72","94,17","96,49","98,40","100,41","101,83","95,37",Petani
BENGKULU,"116,71","113,76","110,68","109,97","106,72","107,84","110,94","114,57","117,66","118,11","119,86","122,12","114,10",Petani
LAMPUNG,"97,92","96,83","95,40","93,00","91,51","91,83","92,99","94,26","95,63","94,74","95,85","96,75","94,73",Petani
KEP. BANGKA BELITUNG,"105,92","105,79","103,05","100,23","96,92","96,11","98,94","102,53","105,46","108,08","110,84","113,46","103,95",Petani
KEP. RIAU,"101,38","101,27","100,59","99,28","97,60","97,05","96,86","97,94","98,35","98,99","99,66","101,35","99,19",Petani
DKI JAKARTA,"101,17","100,40","100,22","99,97","99,25","98,30","100,14","99,25","99,58","98,67","98,32","99,28","99,55",Petani
JAWA BARAT,"104,47","104,48","104,13","102,04","100,44","100,00","100,08","99,52","99,98","100,94","100,73","100,19","101,41",Petani
JAWA TENGAH,"104,03","103,29","102,12","100,51","101,11","101,10","100,77","100,99","101,82","102,08","102,19","101,49","101,79",Petani
DI YOGYAKARTA,"103,16","103,19","101,91","100,69","100,82","100,30","101,44","101,01","100,33","100,71","100,24","99,71","101,12",Petani
JAWA TIMUR,"103,98","103,16","101,47","99,43","99,01","99,99","100,21","99,83","100,36","100,50","100,54","100,80","100,77",Petani
BANTEN,"105,14","105,49","106,01","103,61","101,45","99,69","100,32","101,20","101,97","100,82","100,82","100,74","102,27",Petani
BALI,"96,27","96,63","97,10","94,81","93,54","93,53","93,92","93,34","93,16","92,83","92,61","93,56","94,27",Petani
NUSA TENGGARA BARAT,"107,18","107,96","107,52","105,88","105,91","105,70","106,50","106,99","107,10","108,38","109,27","109,22","107,30",Petani
NUSA TENGGARA TIMUR,"96,25","96,03","95,51","95,59","95,23","96,19","96,16","95,74","95,66","96,28","96,28","96,24","95,93",Petani
KALIMANTAN BARAT,"109,31","109,21","107,24","103,74","104,81","102,37","104,15","106,86","109,52","112,23","114,97","117,01","108,46",Petani
KALIMANTAN TENGAH,"108,11","107,48","105,21","102,38","100,47","98,53","99,37","100,40","102,81","104,02","105,84","107,99","103,55",Petani
KALIMANTAN SELATAN,"102,61","101,99","101,10","98,64","98,39","98,44","98,87","99,64","100,91","102,31","103,53","105,37","100,98",Petani
KALIMANTAN TIMUR,"112,86","114,73","112,50","109,68","108,42","107,02","108,25","110,31","112,04","112,08","113,53","114,97","111,36",Petani
KALIMANTAN UTARA,"104,03","103,81","103,36","102,22","101,40","101,13","102,04","102,58","102,65","102,77","103,62","103,43","102,75",Petani
SULAWESI UTARA,"99,27","99,10","98,85","97,79","97,85","96,52","98,12","98,27","97,64","99,26","100,76","102,11","98,80",Petani
SULAWESI TENGAH,"96,92","97,43","96,72","95,64","95,94","94,01","93,29","93,59","94,59","94,94","94,38","95,91","95,27",Petani
SULAWESI SELATAN,"96,86","97,73","96,80","96,90","96,65","96,57","96,04","96,58","97,40","97,23","97,33","97,56","96,97",Petani
SULAWESI TENGGARA,"96,64","97,01","97,28","95,67","95,70","95,63","94,69","95,50","97,05","97,01","96,80","97,28","96,35",Petani
GORONTALO,"99,04","98,71","99,04","98,55","98,97","98,26","99,54","99,32","99,70","100,18","100,56","101,13","99,42",Petani
SULAWESI BARAT,"109,55","111,80","110,42","108,91","106,41","104,34","104,76","107,25","109,78","111,80","113,08","115,30","109,45",Petani
MALUKU,"99,01","98,38","97,62","96,57","95,68","96,52","96,34","95,17","95,21","96,13","97,04","97,68","96,77",Petani
MALUKU UTARA,"98,16","97,59","98,33","95,87","96,08","94,94","95,57","95,82","95,69","96,18","96,56","97,52","96,52",Petani
PAPUA BARAT,"101,78","101,79","100,69","100,80","100,45","100,97","100,75","100,74","100,14","99,86","100,30","101,08","100,78",Petani
PAPUA,"101,55","101,35","101,54","100,95","101,02","102,49","102,56","103,13","103,59","103,32","102,75","102,78","102,25",Petani
INDONESIA,"104,16","103,35","102,09","100,32","99,47","99,60","100,09","100,65","101,66","102,25","102,86","103,25","101,65",Petani
ACEH,"99,83","98,80","96,96","99,60","99,53","100,84","99,76","99,09","99,13","98,41","98,65","98,42","99,08",Petani Tanaman Pangan
SUMATERA UTARA,"98,23","98,10","96,95","96,44","96,92","97,56","96,95","96,90","96,87","96,61","96,38","94,98","96,90",Petani Tanaman Pangan
SUMATERA BARAT,"101,57","102,28","102,50","101,67","99,92","98,76","98,52","98,43","98,06","96,93","95,42","94,84","99,06",Petani Tanaman Pangan
RIAU,"95,16","94,81","92,34","93,47","92,84","93,05","94,13","93,61","93,68","93,64","93,15","92,94","93,57",Petani Tanaman Pangan
JAMBI,"101,27","101,22","101,47","101,80","100,49","99,91","99,92","100,63","100,62","100,08","99,73","98,68","100,48",Petani Tanaman Pangan
SUMATERA SELATAN,"103,32","102,27","101,73","99,79","98,04","98,03","97,65","97,54","98,02","96,41","94,06","92,52","98,27",Petani Tanaman Pangan
BENGKULU,"102,92","104,04","104,23","102,47","101,24","102,39","103,88","106,25","104,50","103,70","100,81","99,92","103,02",Petani Tanaman Pangan
LAMPUNG,"98,90","97,82","95,93","94,48","93,37","93,06","93,28","94,12","94,30","91,64","91,69","92,55","94,26",Petani Tanaman Pangan
KEP. BANGKA BELITUNG,"99,85","99,49","101,00","101,43","101,02","100,16","100,26","101,61","100,23","99,74","99,51","98,16","100,20",Petani Tanaman Pangan
KEP. RIAU,"102,96","100,71","101,84","103,72","102,49","101,19","102,38","101,11","101,75","103,45","103,89","104,54","102,50",Petani Tanaman Pangan
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-,Petani Tanaman Pangan
JAWA BARAT,"106,48","106,75","106,69","104,19","102,20","101,54","101,39","101,43","102,54","103,12","102,22","100,95","103,28",Petani Tanaman Pangan
JAWA TENGAH,"108,00","107,06","104,61","102,50","102,81","102,65","102,07","102,78","104,24","104,17","103,57","102,72","103,93",Petani Tanaman Pangan
DI YOGYAKARTA,"104,75","105,07","102,95","102,16","102,86","101,23","101,89","102,22","101,84","101,36","99,96","98,26","102,04",Petani Tanaman Pangan
JAWA TIMUR,"106,77","105,45","102,57","100,48","100,28","101,35","101,09","101,95","103,44","103,40","102,68","102,48","102,66",Petani Tanaman Pangan
BANTEN,"106,70","106,96","107,84","104,55","101,76","99,49","100,13","101,60","102,77","101,28","101,19","100,74","102,91",Petani Tanaman Pangan
BALI,"100,50","100,96","102,06","99,87","98,86","97,95","98,77","99,73","99,41","100,00","98,57","97,87","99,54",Petani Tanaman Pangan
NUSA TENGGARA BARAT,"108,67","109,33","109,16","106,25","106,08","105,83","106,60","108,26","108,72","110,93","111,76","111,51","108,59",Petani Tanaman Pangan
NUSA TENGGARA TIMUR,"95,55","95,48","95,21","95,87","95,42","96,22","95,29","94,54","94,61","95,09","95,10","95,02","95,28",Petani Tanaman Pangan
